id;codMaquina;ordemProducao;dataHora;distancia;folhas;data
302;maq002;OP00224;2025-06-13 23:13:08;365.9;0;2025-06-13
303;maq002;OP00224;2025-06-13 23:13:09;366.0;0;2025-06-13
304;maq002;OP00224;2025-06-13 23:13:09;366.0;0;2025-06-13
305;maq002;OP00224;2025-06-13 23:13:10;366.0;0;2025-06-13
306;maq002;OP00224;2025-06-13 23:13:10;365.9;0;2025-06-13
307;maq002;OP00224;2025-06-13 23:13:11;366.0;0;2025-06-13
308;maq002;OP00224;2025-06-13 23:13:11;218.0;0;2025-06-13
309;maq002;OP00224;2025-06-13 23:13:12;46.0;0;2025-06-13
310;maq002;OP00224;2025-06-13 23:13:12;2.0;1;2025-06-13
311;maq002;OP00224;2025-06-13 23:13:13;70.0;1;2025-06-13
312;maq002;OP00224;2025-06-13 23:13:14;148.0;1;2025-06-13
313;maq002;OP00224;2025-06-13 23:13:14;215.0;1;2025-06-13
314;maq002;OP00224;2025-06-13 23:13:15;299.0;1;2025-06-13
315;maq002;OP00224;2025-06-13 23:13:15;376.9;1;2025-06-13
316;maq002;OP00224;2025-06-13 23:13:16;397.9;1;2025-06-13
317;maq002;OP00224;2025-06-13 23:13:16;359.0;1;2025-06-13
318;maq002;OP00224;2025-06-13 23:13:17;327.0;1;2025-06-13
319;maq002;OP00224;2025-06-13 23:13:17;270.9;1;2025-06-13
320;maq002;OP00224;2025-06-13 23:13:18;215.0;1;2025-06-13
321;maq002;OP00224;2025-06-13 23:13:18;175.9;1;2025-06-13
322;maq002;OP00224;2025-06-13 23:13:19;133.9;1;2025-06-13
323;maq002;OP00224;2025-06-13 23:13:19;77.0;1;2025-06-13
324;maq002;OP00224;2025-06-13 23:13:20;28.0;1;2025-06-13
325;maq002;OP00224;2025-06-13 23:13:20;10.0;2;2025-06-13
326;maq002;OP00224;2025-06-13 23:13:21;101.9;2;2025-06-13
327;maq002;OP00224;2025-06-13 23:13:21;175.9;2;2025-06-13
328;maq002;OP00224;2025-06-13 23:13:22;232.1;2;2025-06-13
329;maq002;OP00224;2025-06-13 23:13:22;278.0;2;2025-06-13
330;maq002;OP00224;2025-06-13 23:13:23;355.9;2;2025-06-13
331;maq002;OP00224;2025-06-13 23:13:23;399.9;2;2025-06-13
332;maq002;OP00224;2025-06-13 23:13:24;393.9;2;2025-06-13
333;maq002;OP00224;2025-06-13 23:13:24;370.0;2;2025-06-13
334;maq002;OP00224;2025-06-13 23:13:25;326.9;2;2025-06-13
335;maq002;OP00224;2025-06-13 23:13:25;285.0;2;2025-06-13
336;maq002;OP00224;2025-06-13 23:13:26;245.9;2;2025-06-13
337;maq002;OP00224;2025-06-13 23:13:26;218.0;2;2025-06-13
338;maq002;OP00224;2025-06-13 23:13:27;140.9;2;2025-06-13
339;maq002;OP00224;2025-06-13 23:13:27;70.0;2;2025-06-13
340;maq002;OP00224;2025-06-13 23:13:28;35.0;2;2025-06-13
341;maq002;OP00224;2025-06-13 23:13:28;2.0;3;2025-06-13
342;maq002;OP00224;2025-06-13 23:13:29;2.0;3;2025-06-13
343;maq002;OP00224;2025-06-13 23:13:29;31.0;3;2025-06-13
344;maq002;OP00224;2025-06-13 23:13:30;105.0;3;2025-06-13
345;maq002;OP00224;2025-06-13 23:13:30;143.9;3;2025-06-13
346;maq002;OP00224;2025-06-13 23:13:31;175.9;3;2025-06-13
347;maq002;OP00224;2025-06-13 23:13:31;252.9;3;2025-06-13
348;maq002;OP00224;2025-06-13 23:13:32;299.0;3;2025-06-13
349;maq002;OP00224;2025-06-13 23:13:33;366.0;3;2025-06-13
350;maq002;OP00224;2025-06-13 23:13:33;399.9;3;2025-06-13
351;maq002;OP00224;2025-06-13 23:13:34;344.9;3;2025-06-13
352;maq002;OP00224;2025-06-13 23:13:34;302.9;3;2025-06-13
353;maq002;OP00224;2025-06-13 23:13:35;271.0;3;2025-06-13
354;maq002;OP00224;2025-06-13 23:13:35;222.0;3;2025-06-13
355;maq002;OP00224;2025-06-13 23:13:36;179.0;3;2025-06-13
356;maq002;OP00224;2025-06-13 23:13:36;148.0;3;2025-06-13
357;maq002;OP00224;2025-06-13 23:13:37;81.0;3;2025-06-13
358;maq002;OP00224;2025-06-13 23:13:37;53.0;3;2025-06-13
359;maq002;OP00224;2025-06-13 23:13:38;17.0;3;2025-06-13
360;maq002;OP00224;2025-06-13 23:13:38;2.0;4;2025-06-13
361;maq002;OP00224;2025-06-13 23:13:39;49.0;4;2025-06-13
362;maq002;OP00224;2025-06-13 23:13:39;105.0;4;2025-06-13
363;maq002;OP00224;2025-06-13 23:13:40;150.9;4;2025-06-13
